PROJECT	SAMPLE	PATH	TYPE
758	CP66-MEL						/nfs/cancer_trk0010/00000031/103634.bam		bam
758	CP66-MEL						/nfs/cancer_trk0002/00000008/103635.bam.bai	bam bai
758	CP67-MEL						/nfs/cancer_trk0010/00000031/103644.bam		bam
758	CP67-MEL						/nfs/cancer_trk0009/00000029/103645.bam.bai	bam bai
758	CPC-N							/nfs/cancer_trk0007/00000024/87651.bam		bam
758	CPC-N							/nfs/cancer_trk0007/00000023/87652.bam.bai	bam bai
758	CRO-AP2							/nfs/cancer_trk0010/00000033/104039.bam		bam
758	CRO-AP2							/nfs/cancer_trk0010/00000031/104040.bam.bai	bam bai
758	CTB-1							/nfs/cancer_trk0010/00000031/103985.bam		bam
758	CTB-1							/nfs/cancer_trk0007/00000024/103986.bam.bai	bam bai
758	CTV-1							/nfs/cancer_trk0010/00000031/103971.bam		bam
758	CTV-1							/nfs/cancer_trk0007/00000024/103972.bam.bai	bam bai
758	D-247MG							/nfs/cancer_trk0010/00000031/103656.bam		bam
758	D-247MG							/nfs/cancer_trk0002/00000008/103657.bam.bai	bam bai
758	D-263MG							/nfs/cancer_trk0010/00000031/103658.bam		bam
758	D-263MG							/nfs/cancer_trk0002/00000008/103659.bam.bai	bam bai
758	D-283MED						/nfs/cancer_trk0005/00000019/68083.bam		bam
758	D-283MED						/nfs/cancer_trk0004/00000012/68084.bam.bai	bam bai
758	D-336MG							/nfs/cancer_trk0010/00000031/103660.bam		bam
758	D-336MG							/nfs/cancer_trk0002/00000008/103661.bam.bai	bam bai
758	D-392MG							/nfs/cancer_trk0009/00000030/103662.bam		bam
758	D-392MG							/nfs/cancer_trk0002/00000008/103663.bam.bai	bam bai
758	D-502MG							/nfs/cancer_trk0009/00000030/103664.bam		bam
758	D-502MG							/nfs/cancer_trk0005/00000017/103665.bam.bai	bam bai
758	D-542MG							/nfs/cancer_trk0010/00000031/103646.bam		bam
758	D-542MG							/nfs/cancer_trk0002/00000008/103647.bam.bai	bam bai
758	DAN-G							/nfs/cancer_trk0007/00000023/88559.bam		bam
758	DAN-G							/nfs/cancer_trk0006/00000022/88560.bam.bai	bam bai
758	Daoy							/nfs/cancer_trk0005/00000019/69649.bam		bam
758	Daoy							/nfs/cancer_trk0002/00000007/69650.bam.bai	bam bai
758	Daudi							/nfs/cancer_trk0010/00000031/104041.bam		bam
758	Daudi							/nfs/cancer_trk0009/00000027/104042.bam.bai	bam bai
758	DBTRG-05MG						/nfs/cancer_trk0010/00000031/103959.bam		bam
758	DBTRG-05MG						/nfs/cancer_trk0007/00000024/103960.bam.bai	bam bai
758	DEL							/nfs/cancer_trk0010/00000031/104019.bam		bam
758	DEL							/nfs/cancer_trk0007/00000024/104020.bam.bai	bam bai
758	DG-75							/nfs/cancer_trk0010/00000031/103977.bam		bam
758	DG-75							/nfs/cancer_trk0007/00000024/103978.bam.bai	bam bai
